City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,Faya,SA,70.32,clear sky,18.3851,42.4509,مقبرة ال مجمل
410,Gazanjyk,TM,72.79,clear sky,39.2446,55.5154,Railway motel
411,Mogocha,RU,66.51,few clouds,53.7333,119.7667,Yalta Inn
412,Nyrob,RU,51.82,broken clouds,60.733000000000004,56.7202,Gostinitsa
413,Pilar,BR,76.93,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
414,Russell,US,85.71,scattered clouds,32.3502,-85.1999,Macs
415,Petrolina,BR,80.65,scattered clouds,-9.3986,-40.5008,JB Hotel
416,Ulladulla,AU,56.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
417,Yellandu,IN,82.83,clear sky,17.6,80.3333,Chekuri Satyanarayana
418,Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
422,Ahipara,NZ,61.75,light rain,-35.1667,173.1667,Ahipara Holiday Park
424,Santa Elena,EC,71.15,overcast clouds,-2.2333,-80.85,HOTEL CISNE II
425,Verkhovazhye,RU,57.25,overcast clouds,60.7472,42.0465,Guest house Uyut on Gagarina 4А
427,Dedovichi,RU,55.96,scattered clouds,57.5517,29.9502,"The hotel complex ""Rus"""
428,Augusto Correa,BR,73.17,moderate rain,-1.0217,-46.635,Fazenda Bacuri
429,Sabzevar,IR,81.75,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
430,Sao Filipe,CV,74.62,scattered clouds,14.8961,-24.4956,Hotel Xaguate
431,Seoul,KR,68.41,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
432,Bykovo,RU,61.56,clear sky,55.6361,38.0803,Around the world
433,Kijang,KR,67.73,clear sky,35.2442,129.2139,Samyang Beach Villa
435,Vaitape,PF,81.0,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
436,Strelka,RU,55.49,overcast clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
437,Guiglo,CI,74.44,clear sky,6.5456,-7.4966,Hotel GBAOLY 2
438,Marsa Matruh,EG,70.0,clear sky,31.3525,27.2453,Beau Site
440,Paita,PE,68.29,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
441,Lahaina,US,86.0,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
442,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
443,Ucluelet,CA,52.95,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
444,Omboue,GA,75.94,overcast clouds,-1.5746,9.2618,Hotel Olako
