City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Nicolas Bravo,MX,2021-05-30 18:34:11,18.45,-88.9167,89.96,30,55,7.67
130,Zhigansk,RU,2021-05-30 18:34:12,66.7697,123.3711,47.41,61,0,10.74
131,Burhaniye,TR,2021-05-30 18:34:12,39.5004,26.9727,73.26,60,75,8.05
132,Chokurdakh,RU,2021-05-30 18:34:13,70.6333,147.9167,54.73,41,43,9.84
133,East London,ZA,2021-05-30 18:34:13,-33.0153,27.9116,51.8,87,0,6.91
134,Lavrentiya,RU,2021-05-30 18:34:14,65.5833,-171.0,34.74,79,8,10.85
135,Gracac,HR,2021-05-30 18:34:14,44.3006,15.8547,58.75,66,0,8.97
136,Shache,CN,2021-05-30 18:34:15,38.4167,77.2406,77.2,27,100,8.86
137,Anadyr,RU,2021-05-30 18:34:15,64.75,177.4833,41.0,70,0,8.95
138,Vila Franca Do Campo,PT,2021-05-30 18:30:21,37.7167,-25.4333,66.61,71,8,9.48
139,Geraldton,AU,2021-05-30 18:34:16,-28.7667,114.6,57.61,88,75,18.99
140,Tarauaca,BR,2021-05-30 18:34:16,-8.1614,-70.7656,86.02,66,31,2.91
141,Vao,NC,2021-05-30 18:34:16,-22.6667,167.4833,69.93,56,61,16.69
142,Thaba Nchu,ZA,2021-05-30 18:34:17,-29.2093,26.839,40.78,45,49,4.7
143,Tamale,GH,2021-05-30 18:33:19,9.4008,-0.8393,79.75,67,44,9.78
144,Saint George,US,2021-05-30 18:34:17,37.1041,-113.5841,93.67,12,1,1.99
145,Talcahuano,CL,2021-05-30 18:34:17,-36.7167,-73.1167,58.68,67,75,4.61
146,Cortona,IT,2021-05-30 18:34:18,43.2745,11.9871,64.99,41,4,6.49
147,Tairua,NZ,2021-05-30 18:34:18,-37.0167,175.85,55.18,89,88,8.14
148,Ilulissat,GL,2021-05-30 18:34:19,69.2167,-51.1,44.62,42,100,4.61
149,Dandong,CN,2021-05-30 18:31:52,40.1292,124.3947,53.94,77,0,4.56
150,Coari,BR,2021-05-30 18:34:20,-4.085,-63.1414,85.41,65,84,2.39
151,Mahenge,TZ,2021-05-30 18:34:20,-8.6833,36.7167,60.6,60,53,2.48
152,Pleshanovo,RU,2021-05-30 18:29:26,52.8333,53.4833,68.22,73,30,7.9
153,Isangel,VU,2021-05-30 18:34:21,-19.55,169.2667,70.16,77,70,6.67
154,Aklavik,CA,2021-05-30 18:34:21,68.2191,-135.0107,43.63,52,20,13.8
155,Nelson Bay,AU,2021-05-30 18:34:21,-32.7167,152.15,57.0,91,94,1.01
156,Katsuura,JP,2021-05-30 18:34:22,35.1333,140.3,66.31,79,0,12.84
157,Ponta Do Sol,PT,2021-05-30 18:34:22,32.6667,-17.1,69.71,79,39,6.08
158,Raudeberg,NO,2021-05-30 18:34:22,61.9875,5.1352,56.98,84,73,11.7
159,Algiers,DZ,2021-05-30 18:34:23,36.7525,3.042,67.82,78,75,10.85
160,Souillac,MU,2021-05-30 18:34:23,-20.5167,57.5167,73.36,94,40,6.91
161,Marsa Matruh,EG,2021-05-30 18:34:23,31.3525,27.2453,86.2,42,0,11.5
162,Sao Joao Da Barra,BR,2021-05-30 18:34:24,-21.6403,-41.0511,82.49,82,95,12.75
163,Bratsk,RU,2021-05-30 18:34:24,56.1325,101.6142,34.29,99,100,1.61
164,Port Alfred,ZA,2021-05-30 18:34:25,-33.5906,26.891,58.53,64,100,8.75
165,Mar Del Plata,AR,2021-05-30 18:34:25,-38.0023,-57.5575,57.99,42,0,1.01
166,Fukue,JP,2021-05-30 18:34:26,32.6881,128.8419,68.07,72,0,5.26
167,Salinas,US,2021-05-30 18:30:37,36.6777,-121.6555,79.2,66,1,4.61
168,Butaritari,KI,2021-05-30 18:34:26,3.0707,172.7902,82.87,77,100,14.7
169,Flinders,AU,2021-05-30 18:30:16,-34.5833,150.8552,54.21,82,0,1.01
170,Fortuna,US,2021-05-30 18:32:23,40.5982,-124.1573,61.86,76,100,1.99
171,Nurota,UZ,2021-05-30 18:34:27,40.5614,65.6886,80.69,18,0,5.03
172,Georgetown,MY,2021-05-30 18:34:27,5.4112,100.3354,82.89,86,40,1.01
173,Puro,PH,2021-05-30 18:34:28,12.4841,123.3827,82.26,76,97,1.63
174,Alcazar De San Juan,ES,2021-05-30 18:34:28,39.3901,-3.2083,85.71,25,100,8.14
175,Sitka,US,2021-05-30 18:34:29,57.0531,-135.33,51.8,82,90,4.61
176,Ajdabiya,LY,2021-05-30 18:34:30,30.7554,20.2263,79.86,36,0,13.33
177,Saldanha,ZA,2021-05-30 18:34:30,-33.0117,17.9442,53.6,82,100,3.44
178,Lata,PT,2021-05-30 18:33:51,40.1629,-8.3327,73.35,65,56,3.62
179,La Ronge,CA,2021-05-30 18:33:56,55.1001,-105.2842,62.6,39,32,4.61
180,Deming,US,2021-05-30 18:34:31,32.2687,-107.7586,86.18,4,1,6.91
181,Thinadhoo,MV,2021-05-30 18:34:31,0.5333,72.9333,83.21,73,24,17.56
182,Codrington,AU,2021-05-30 18:34:32,-38.2667,141.9667,40.3,66,5,8.23
183,Paka,MY,2021-05-30 18:34:32,4.6374,103.4368,78.73,94,30,6.08
184,Hualmay,PE,2021-05-30 18:34:33,-11.0964,-77.6139,69.39,75,22,10.98
185,Te Anau,NZ,2021-05-30 18:34:33,-45.4167,167.7167,47.79,95,100,6.46
186,Faya,SA,2021-05-30 18:34:33,18.3851,42.4509,73.51,26,19,6.93
187,Pacific Grove,US,2021-05-30 18:33:39,36.6177,-121.9166,78.8,79,20,1.01
188,Prieska,ZA,2021-05-30 18:34:34,-29.6641,22.7474,51.22,36,0,3.02
189,Jeremie,HT,2021-05-30 18:34:34,18.65,-74.1167,82.94,71,24,2.59
190,Taoudenni,ML,2021-05-30 18:34:35,22.6783,-3.9836,108.86,7,100,3.67
191,Dongsheng,CN,2021-05-30 18:34:35,39.8161,109.9776,67.28,24,100,15.19
192,Tonj,SS,2021-05-30 18:34:35,7.2737,28.6822,81.63,55,36,4.81
193,Rabo De Peixe,PT,2021-05-30 18:34:36,37.8,-25.5833,65.71,63,20,11.05
194,Norman Wells,CA,2021-05-30 18:34:36,65.282,-126.8329,42.84,75,75,14.97
195,Scarborough,GB,2021-05-30 18:34:37,54.2797,-0.4044,66.02,81,6,4.0
196,Havoysund,NO,2021-05-30 18:34:37,70.9963,24.6622,43.03,97,100,27.49
197,Kijang,KR,2021-05-30 18:34:37,35.2442,129.2139,64.13,82,5,1.61
198,Paamiut,GL,2021-05-30 18:34:38,61.994,-49.6678,35.58,90,31,20.11
199,Pires Do Rio,BR,2021-05-30 18:30:41,-17.2997,-48.2794,86.9,31,99,3.85
200,Cidreira,BR,2021-05-30 18:34:38,-30.1811,-50.2056,56.14,48,73,10.74
201,Udachnyy,RU,2021-05-30 18:34:39,66.4167,112.4,50.72,44,28,4.97
202,Zharkovskiy,RU,2021-05-30 18:34:39,55.849,32.2697,44.19,66,55,5.35
203,Port Augusta,AU,2021-05-30 18:34:40,-32.5,137.7667,39.34,39,100,1.77
204,Punta Arenas,CL,2021-05-30 18:34:40,-53.15,-70.9167,37.4,56,75,9.22
205,Kohila,EE,2021-05-30 18:34:41,59.1681,24.7575,55.4,41,0,5.75
206,Pangnirtung,CA,2021-05-30 18:34:41,66.1451,-65.7125,28.4,100,90,5.75
207,Jandaia Do Sul,BR,2021-05-30 18:31:33,-23.6031,-51.6433,59.83,64,53,5.08
208,Aswan,EG,2021-05-30 18:34:42,24.0934,32.907,95.86,10,100,6.6
209,Peniche,PT,2021-05-30 18:34:42,39.3558,-9.3811,76.48,84,89,10.16
210,Saint-Francois,FR,2021-05-30 18:34:43,46.4154,3.9054,71.6,35,0,6.91
211,Kano,NG,2021-05-30 18:34:29,12.0001,8.5167,93.85,11,0,6.06
212,Solnechnyy,RU,2021-05-30 18:34:44,50.7214,136.6319,43.11,86,100,1.88
213,Shelopugino,RU,2021-05-30 18:34:44,51.6514,117.5599,42.98,86,100,2.64
214,Castro,BR,2021-05-30 18:34:03,-24.7911,-50.0119,56.53,98,100,3.29
215,Sompeta,IN,2021-05-30 18:34:45,18.9333,84.6,84.69,74,97,6.6
216,Dunedin,NZ,2021-05-30 18:34:45,-45.8742,170.5036,50.81,97,100,9.53
217,Maputo,MZ,2021-05-30 18:34:46,-25.9653,32.5892,68.0,60,75,12.66
218,Limenaria,GR,2021-05-30 18:34:46,40.6261,24.5786,70.95,69,100,3.8
219,Jamestown,US,2021-05-30 18:34:46,42.097,-79.2353,62.19,44,1,17.27
220,Mount Isa,AU,2021-05-30 18:34:47,-20.7333,139.5,55.17,41,5,4.61
221,Iqaluit,CA,2021-05-30 18:29:55,63.7506,-68.5145,40.73,70,75,5.99
222,Kavieng,PG,2021-05-30 18:34:47,-2.5744,150.7967,80.78,80,100,9.24
223,Padang,ID,2021-05-30 18:34:48,-0.9492,100.3543,76.1,89,83,2.86
224,Bintulu,MY,2021-05-30 18:34:48,3.1667,113.0333,77.41,94,20,5.01
225,Maumere,ID,2021-05-30 18:34:48,-8.6199,122.2111,76.73,82,100,2.95
226,Caravelas,BR,2021-05-30 18:34:49,-17.7125,-39.2481,79.92,71,45,8.59
227,Balanacan,PH,2021-05-30 18:34:49,13.5289,121.8677,82.15,75,100,2.42
228,Acapulco,MX,2021-05-30 18:32:18,16.8634,-99.8901,89.42,58,20,10.89
229,Carnarvon,AU,2021-05-30 18:33:59,-24.8667,113.6333,57.27,94,59,6.91
230,Yar-Sale,RU,2021-05-30 18:34:50,66.8333,70.8333,37.2,63,5,20.56
231,Gobabis,NA,2021-05-30 18:34:50,-22.45,18.9667,61.05,24,19,6.6
232,Fiditi,NG,2021-05-30 18:34:51,7.7136,3.9172,75.69,91,64,5.7
233,Port Hardy,CA,2021-05-30 18:34:51,50.6996,-127.4199,53.78,94,90,14.97
234,Guayaquil,EC,2021-05-30 18:31:24,-2.1667,-79.9,81.7,73,90,6.91
235,Amapa,BR,2021-05-30 18:34:52,1.0,-52.0,80.22,87,61,4.07
236,Pevek,RU,2021-05-30 18:34:52,69.7008,170.3133,39.0,68,0,5.17
237,Kirakira,SB,2021-05-30 18:34:52,-10.4544,161.9205,77.25,89,100,7.23
238,Sayat,TM,2021-05-30 18:34:53,38.7839,63.8803,94.87,11,0,10.0
239,Sandviken,SE,2021-05-30 18:34:53,60.6167,16.7667,63.18,61,21,6.08
240,Khandyga,RU,2021-05-30 18:34:53,62.6667,135.6,50.09,82,100,5.95
241,Unguia,CO,2021-05-30 18:34:54,8.0434,-77.0945,89.96,58,55,3.53
242,Isla Mujeres,MX,2021-05-30 18:30:05,21.2311,-86.731,89.65,67,6,8.39
243,Bethel,US,2021-05-30 18:34:54,41.3712,-73.414,50.58,90,90,1.01
244,Lasa,IT,2021-05-30 18:34:54,46.6166,10.7002,67.91,79,23,5.7
245,Fuxin,CN,2021-05-30 18:34:55,42.0156,121.6589,58.14,52,6,3.98
246,Simao,CN,2021-05-30 18:34:55,22.7886,100.9748,65.82,97,100,1.79
247,Borogontsy,RU,2021-05-30 18:34:56,62.6683,131.1683,45.28,93,100,6.91
248,Bathsheba,BB,2021-05-30 18:34:56,13.2167,-59.5167,81.21,65,75,19.75
249,Saint Anthony,US,2021-05-30 18:34:57,45.0205,-93.218,57.99,88,90,9.22
250,Vestmanna,FO,2021-05-30 18:34:57,62.1564,-7.1664,54.52,76,20,17.58
251,Mpraeso,GH,2021-05-30 18:34:57,6.5932,-0.7346,74.61,87,90,6.17
252,Burnie,AU,2021-05-30 18:34:58,-41.0667,145.9167,39.99,85,12,3.0
253,Cockburn Town,TC,2021-05-30 18:35:00,21.4612,-71.1419,84.2,61,75,17.27
254,Shimoda,JP,2021-05-30 18:35:00,34.6667,138.95,68.11,77,1,12.46
255,Longyearbyen,SJ,2021-05-30 18:30:54,78.2186,15.6401,33.64,75,75,5.75
256,Maniitsoq,GL,2021-05-30 18:35:01,65.4167,-52.9,35.46,86,94,4.63
257,Roblin,CA,2021-05-30 18:30:11,51.23,-101.3565,49.26,67,100,11.9
258,Yuli,NG,2021-05-30 18:35:01,9.6989,10.2744,88.99,41,100,4.83
259,Anito,PH,2021-05-30 18:35:03,12.4497,125.2886,78.08,91,98,3.09
260,Nanortalik,GL,2021-05-30 18:35:04,60.1432,-45.2371,37.8,85,31,15.28
261,Half Moon Bay,US,2021-05-30 18:35:04,37.4636,-122.4286,73.99,82,1,8.05
262,Bairiki,KI,2021-05-30 18:35:05,1.3292,172.9752,82.4,83,40,6.91
263,Aripuana,BR,2021-05-30 18:35:05,-9.1667,-60.6333,92.46,35,22,3.51
264,Kaitangata,NZ,2021-05-30 18:35:06,-46.2817,169.8464,49.44,93,100,7.67
265,Aksu,CN,2021-05-30 18:35:03,41.1231,80.2644,78.28,27,87,13.94
266,Roma,US,2021-05-30 18:35:06,43.2128,-75.4557,57.06,70,90,8.05
267,Pyapon,MM,2021-05-30 18:35:06,16.2833,95.6833,80.37,84,100,5.5
268,Tongzi,CN,2021-05-30 18:35:07,28.7829,105.0877,70.02,74,100,2.15
269,Whitehorse,CA,2021-05-30 18:32:13,60.7161,-135.0538,52.57,46,75,17.0
270,Ucluelet,CA,2021-05-30 18:32:03,48.9329,-125.5528,57.09,90,100,1.61
271,Fenoarivo,MG,2021-05-30 18:35:07,-18.933,47.4354,64.47,82,75,1.88
272,Harper,LR,2021-05-30 18:35:08,4.375,-7.7169,79.56,84,100,8.52
273,Aurillac,FR,2021-05-30 18:35:08,44.9167,2.45,71.85,52,76,3.44
274,Antofagasta,CL,2021-05-30 18:35:09,-23.65,-70.4,70.21,58,33,8.43
275,Lompoc,US,2021-05-30 18:32:48,34.6391,-120.4579,64.4,77,90,11.5
276,Guapore,BR,2021-05-30 18:32:15,-28.8456,-51.8903,62.38,55,6,3.71
277,Yibin,CN,2021-05-30 18:35:09,28.7667,104.6238,73.24,77,100,0.76
278,Asuncion,PY,2021-05-30 18:35:10,-25.3007,-57.6359,73.4,21,0,19.57
279,Waddan,LY,2021-05-30 18:35:11,29.1614,16.139,88.07,21,10,20.51
280,Bilibino,RU,2021-05-30 18:35:11,68.0546,166.4372,48.49,47,66,2.17
281,Yerbogachen,RU,2021-05-30 18:35:12,61.2767,108.0108,43.29,68,100,9.37
282,Alofi,NU,2021-05-30 18:35:12,-19.0595,-169.9187,75.2,94,64,3.44
283,Saint-Paul,RE,2021-05-30 18:35:13,-21.0096,55.2707,71.6,64,0,8.05
284,Olafsvik,IS,2021-05-30 18:35:13,64.8945,-23.7142,41.25,88,100,4.27
285,Avera,US,2021-05-30 18:35:13,33.194,-82.5271,71.6,60,90,9.22
286,Moose Factory,CA,2021-05-30 18:35:14,51.2585,-80.6094,75.2,21,1,16.11
287,Touros,BR,2021-05-30 18:35:14,-5.1989,-35.4608,86.9,75,51,12.71
288,Nanchang,CN,2021-05-30 18:35:14,28.6833,115.8833,71.6,89,83,0.22
289,Iskateley,RU,2021-05-30 18:35:15,67.6803,53.1512,35.37,72,98,12.57
290,Sandpoint,US,2021-05-30 18:35:01,48.2766,-116.5533,73.85,43,1,3.44
291,San Quintin,MX,2021-05-30 18:35:16,30.4833,-115.95,65.5,62,40,15.14
292,Farafangana,MG,2021-05-30 18:35:16,-22.8167,47.8333,71.91,89,21,8.61
293,Tondano,ID,2021-05-30 18:35:16,1.3038,124.9112,69.89,90,100,1.05
294,Trelew,AR,2021-05-30 18:33:22,-43.249,-65.3051,47.5,71,100,9.57
295,Kapasan,ID,2021-05-30 18:35:17,-6.7773,111.3789,76.05,90,75,3.87
